country,year,export_entropy_global,n_export_partners_global,top_partner_share,top_partner,export_entropy_regional,gap
ECU,2000,0.6367663484958661,14,0.5361091247209596,USA,0.7411319034588448,0.10436555496297872
ECU,2001,0.6030698954741646,14,0.55353840741531,USA,0.6862264680889278,0.08315657261476328
ECU,2002,0.5740717548675764,14,0.5753603382018124,USA,0.6464629243991025,0.07239116953152602
ECU,2003,0.5654157921162689,14,0.5771442631113509,USA,0.6310947436535418,0.06567895153727288
ECU,2004,0.5002905024862287,14,0.6612116147157225,USA,0.671024187430176,0.17073368494394725
ECU,2005,0.4542435896583308,14,0.6843759728923582,USA,0.7047806502944935,0.25053706063616277
ECU,2006,0.4653329116920059,14,0.6803965738673761,USA,0.6773260740572414,0.21199316236523552
ECU,2007,0.5107254607020152,14,0.618964917911888,USA,0.6667140431791044,0.15598858247708924
ECU,2008,0.5378591153480863,14,0.6037874301964858,USA,0.6977558965109757,0.1598967811628894
ECU,2009,0.5827661312873252,14,0.5629669470702189,USA,0.731940727611788,0.14917459632446273
ECU,2010,0.5779128410438372,14,0.5755180066052901,USA,0.6985509058707582,0.12063806482692097
ECU,2011,0.5171979250047675,14,0.6363438390332801,USA,0.7017489024148543,0.18455097741008686
ECU,2012,0.5453730376834817,14,0.5998212395399697,USA,0.6689970535001715,0.1236240158166898
ECU,2013,0.5492784855801702,14,0.5959548361642725,USA,0.6641916832991577,0.11491319771898745
ECU,2014,0.5233711078284614,14,0.6214139796145443,USA,0.6544865659989915,0.13111545817053005
ECU,2015,0.5961479295105361,14,0.5811846664952963,USA,0.7311800168066239,0.13503208729608784
ECU,2016,0.6513704259069593,14,0.5154578526864937,USA,0.7416086046779417,0.09023817877098239
ECU,2017,0.6540988211797658,14,0.5085778085276211,USA,0.7274657260368845,0.07336690485711872
ECU,2018,0.6540821859778789,14,0.4864805237294395,USA,0.7045290483278281,0.05044686234994922
ECU,2019,0.6396377817123751,14,0.46912007630691255,USA,0.7220597605698535,0.08242197885747848
ECU,2020,0.634026059124426,14,0.4182997642483415,USA,0.744813949889236,0.11078789076481
ECU,2021,0.6235733269112319,14,0.44022655295598784,USA,0.7547234204718244,0.13115009356059248
ECU,2022,0.5914051949351222,14,0.46009852206470686,USA,0.7461012773979543,0.15469608246283206
ECU,2023,0.5997224558762414,14,0.42672603774799434,USA,0.7966500849938282,0.19692762911758677
ECU,2024,0.6630371437513527,14,0.3979897104686416,USA,0.8136675382214347,0.15063039447008197
GTM,2000,0.4819718609307831,14,0.6260500801680098,USA,0.4384849655647129,-0.0434868953660702
GTM,2001,0.5284262655136079,14,0.5235708186482797,USA,0.3318304665064268,-0.19659579900718116
GTM,2002,0.4978986642589755,14,0.5773403104251752,USA,0.3776571940570289,-0.12024147020194659
GTM,2003,0.4705823279893863,14,0.5977240445514508,USA,0.3518729942339231,-0.11870933375546322
GTM,2004,0.4953216702573724,14,0.5731682509180476,USA,0.393705510208255,-0.10161616004911739
GTM,2005,0.3383759906062195,14,0.767752027324695,USA,0.4456200650363214,0.10724407443010192
GTM,2006,0.5292033584699647,14,0.5791767823225953,USA,0.4683882748453365,-0.060815083624628175
GTM,2007,0.4540580544724639,14,0.6656826943111529,USA,0.524537863673149,0.07047980920068514
GTM,2008,0.4751306245325688,14,0.6378133627693883,USA,0.5623835781427063,0.08725295361013752
GTM,2009,0.45966915828483595,14,0.6639877821302307,USA,0.5512350642745106,0.09156590598967468
GTM,2010,0.4868791919210423,14,0.6489676509870745,USA,0.601806185132548,0.11492699321150573
GTM,2011,0.4776467743181277,14,0.663843081719677,USA,0.6117710283849552,0.13412425406682754
GTM,2012,0.4609053097185236,14,0.6704806152470071,USA,0.5917611770698594,0.1308558673513358
GTM,2013,0.48996309029433127,14,0.6503675442033824,USA,0.549191065435415,0.05922797514108369
GTM,2014,0.48930522513195573,14,0.644199464221415,USA,0.548214548785349,0.0589093236533933
GTM,2015,0.5120071207521693,14,0.6283864733545891,USA,0.5752618983058302,0.06325477755366093
GTM,2016,0.5040104525437691,14,0.6295434651185753,USA,0.5610048113271396,0.05699435878337056
GTM,2017,0.5057566127296286,14,0.6266441341737718,USA,0.5902370599536326,0.08448044722400405
GTM,2018,0.4732823259265927,14,0.6520376743779916,USA,0.5853129127662602,0.11203058683966749
GTM,2019,0.4927935535806572,14,0.6282847812946067,USA,0.5636046251943136,0.07081107161365646
GTM,2020,0.5135323245362436,14,0.6173127930341682,USA,0.5585952421681613,0.04506291763191761
GTM,2021,0.5214686996005725,14,0.5937418075779988,USA,0.5380278117182565,0.016559112117684016
GTM,2022,0.5430134260630037,14,0.5840634034827922,USA,0.5797686577937048,0.036755231730701055
GTM,2023,0.5043993601339902,14,0.5947145263558434,USA,0.5611773719374719,0.05677801180348163
GTM,2024,0.4974255517252586,14,0.6006713920640959,USA,0.57380704452566,0.07638149280040141
HND,2000,0.33638674798995827,13,0.75232412089062,USA,0.1468632213634801,-0.18952352662647817
HND,2001,0.3251931520968339,13,0.7723223028227723,USA,0.2203361279256213,-0.10485702417121262
HND,2002,0.3485935588723986,14,0.7513912866752486,USA,0.3434869364347444,-0.005106622437654196
HND,2003,0.41064770865804995,14,0.6979720372946352,USA,0.4221560965604494,0.011508387902399442
HND,2004,0.417932954714492,13,0.6793469871281659,USA,0.3956364693594519,-0.022296485355040085
HND,2005,0.4457239050917731,14,0.6575015954406354,USA,0.3560191487686411,-0.08970475632313202
HND,2006,0.3698672281907382,14,0.7372613316387272,USA,0.3797085949766293,0.009841366785891092
HND,2007,0.4580846612481297,14,0.6329043150661177,USA,0.3430593797765969,-0.11502528147153279
