year,method,y_true,y_pred,pi_lo,pi_hi,abs_error,in_interval,country
2020,xgboost,0.7837175142843193,0.7607131600379944,0.7440286405635804,0.7773976795124083,0.023004354246324965,False,BRA
2021,naive,0.7947779889011681,0.7837175142843193,0.7264650597649638,0.8409699688036749,0.011060474616848781,True,BRA
2021,ets,0.7947779889011681,0.7385018752451165,0.6806443233573829,0.79635942713285,0.056276113656051674,True,BRA
2021,arima,0.7947779889011681,0.7814650057872384,0.7426662076058336,0.8202638039686433,0.0133129831139297,True,BRA
2021,bayesian,0.7947779889011681,0.7532217197913382,0.6885367432899275,0.8179066962927489,0.0415562691098299,True,BRA
2021,xgboost,0.7947779889011681,0.7766485214233398,0.7604973680692885,0.7927996747773912,0.018129467477828287,False,BRA
2022,naive,0.795438032421766,0.7947779889011681,0.738901592160399,0.8506543856419373,0.0006600435205978972,True,BRA
2022,ets,0.795438032421766,0.7934536546223911,0.7413808321306151,0.8455264771141672,0.0019843777993748812,True,BRA
2022,arima,0.795438032421766,0.7908181099520042,0.7528565704786034,0.8287796494254049,0.004619922469761839,True,BRA
2022,bayesian,0.795438032421766,0.77999433271787,0.7154739006889825,0.8445147647467575,0.01544369970389603,True,BRA
2022,xgboost,0.795438032421766,0.7845485210418701,0.768676194047804,0.8004208480359363,0.010889511379895911,True,BRA
2023,naive,0.775769516416264,0.795438032421766,0.7408029856712007,0.8500730791723313,0.019668516005502013,True,BRA
2023,ets,0.775769516416264,0.7953768489443512,0.7444450442755965,0.8463086536131059,0.019607332528087218,True,BRA
2023,arima,0.775769516416264,0.7940548335079117,0.7570310104028823,0.8310786566129411,0.018285317091647713,True,BRA
2023,bayesian,0.775769516416264,0.7981737874456739,0.7349397132762574,0.8614078616150904,0.022404271029409895,True,BRA
2023,xgboost,0.775769516416264,0.7869910597801208,0.7715440771278029,0.8024380424324388,0.011221543363856834,True,BRA
2024,naive,0.7822982259117669,0.775769516416264,0.7218327596263888,0.8297062732061392,0.006528709495502882,True,BRA
2024,ets,0.7822982259117669,0.7793629746949806,0.7292569579660192,0.829468991423942,0.002935251216786283,True,BRA
2024,arima,0.7822982259117669,0.7814043667307642,0.7449148459181849,0.8178938875433435,0.0008938591810027097,True,BRA
2024,bayesian,0.7822982259117669,0.8019765378920664,0.7396799766555584,0.8642730991285743,0.019678311980299457,True,BRA
2024,xgboost,0.7822982259117669,0.781875729560852,0.7663858315814353,0.7973656275402689,0.00042249635091484716,True,BRA
2015,naive,0.8420853525797729,0.8236031306446692,0.7960698336841247,0.8511364276052137,0.018482221935103738,True,CHL
2015,ets,0.8420853525797729,0.8112562269311432,0.7877501287816233,0.8347623250806631,0.03082912564862972,False,CHL
2015,arima,0.8420853525797729,0.8237577376964186,0.7962204037749123,0.8512950716179248,0.018327614883354326,True,CHL
2015,bayesian,0.8420853525797729,0.8077158019202967,0.7774692597445118,0.8379623440960816,0.03436955065947622,False,CHL
2015,xgboost,0.8420853525797729,0.8179966807365417,0.8141022873214159,0.8218910741516676,0.024088671843231158,False,CHL
2016,naive,0.8396510275956008,0.8420853525797729,0.8148675934983072,0.8693031116612386,0.002434324984172065,True,CHL
2016,ets,0.8396510275956008,0.8158753008271474,0.7915092305193068,0.8402413711349881,0.02377572676845341,True,CHL
2016,arima,0.8396510275956008,0.8434567111776359,0.8162143135680466,0.8706991087872251,0.0038056835820350354,True,CHL
2016,bayesian,0.8396510275956008,0.8231663584662219,0.7926286937782027,0.8537040231542411,0.01648466912937896,True,CHL
2016,xgboost,0.8396510275956008,0.8386715650558472,0.8340510639535285,0.8432920661581659,0.0009794625397536727,True,CHL
2017,naive,0.8297448742282009,0.8396510275956008,0.8132671895921113,0.8660348655990904,0.009906153367399972,True,CHL
2017,ets,0.8297448742282009,0.8196514001157431,0.7951528183304856,0.8441499819010007,0.010093474112457756,True,CHL
2017,arima,0.8297448742282009,0.8407778603320798,0.8143741410180215,0.8671815796461381,0.011032986103878928,True,CHL
2017,bayesian,0.8297448742282009,0.8298390929368891,0.8001967103936665,0.8594814754801117,9.421870868819848e-05,True,CHL
2017,xgboost,0.8297448742282009,0.8376848101615906,0.8332569704558094,0.8421126498673718,0.007939935933389708,False,CHL
