exporter,importer,year,value_usd
BRA,PER,2025,3181685626.0
BRA,HND,2025,170455139.0
BRA,MEX,2025,7730096143.0
BRA,CHL,2025,7206274210.0
BRA,ECU,2025,1097162847.0
BRA,BOL,2025,1311844266.0
CHL,ARG,2000,638977818.0
CHL,BOL,2000,163963397.0
CHL,BRA,2000,969390983.0
CHL,COL,2000,236323057.0
CHL,ECU,2000,158656594.0
CHL,GTM,2000,25419942.0
CHL,HND,2000,11983505.0
CHL,MEX,2000,815643285.0
CHL,PER,2000,439346698.0
CHL,PER,2001,586741013.0
CHL,ARG,2001,618698728.0
CHL,BOL,2001,165158021.0
CHL,BRA,2001,909577179.0
CHL,COL,2001,286512989.0
CHL,ECU,2001,260935332.0
CHL,GTM,2001,72640891.0
CHL,HND,2001,20513447.0
CHL,MEX,2001,916979044.0
CHL,PER,2002,466269386.0
CHL,BOL,2002,138975119.0
CHL,ARG,2002,232852460.0
CHL,MEX,2002,909438108.0
CHL,ECU,2002,251096251.0
CHL,COL,2002,274555131.0
CHL,BRA,2002,694206468.0
CHL,GTM,2002,71038529.0
CHL,HND,2002,19550795.0
CHL,ECU,2003,292906263.069
CHL,COL,2003,283032460.799
CHL,BRA,2003,840397562.096
CHL,BOL,2003,628650747.66
CHL,ARG,2003,304667521.117
CHL,PER,2003,650660740.685
CHL,MEX,2003,912374891.483
CHL,GTM,2003,138855580.113
CHL,HND,2003,23995707.55
CHL,PER,2004,724346752.386
CHL,MEX,2004,1344458327.165
CHL,BOL,2004,635151430.738
CHL,BRA,2004,1405611783.229
CHL,ARG,2004,427339772.307
CHL,COL,2004,310318380.311
CHL,HND,2004,57274735.95
CHL,GTM,2004,165531326.428
CHL,ECU,2004,314886370.045
CHL,MEX,2005,1601754101.099
CHL,PER,2005,898427914.391
CHL,ARG,2005,605823312.371
CHL,BOL,2005,824026202.062
CHL,BRA,2005,1853984381.048
CHL,COL,2005,343875443.055
CHL,ECU,2005,337669800.928
CHL,GTM,2005,128898254.41
CHL,HND,2005,51219156.13
CHL,MEX,2006,2315898455.332
CHL,ECU,2006,402665518.194
CHL,COL,2006,487820941.824
CHL,BOL,2006,1072859330.113
CHL,BRA,2006,2813764746.06
CHL,PER,2006,1188458864.716
CHL,GTM,2006,151215874.563
CHL,HND,2006,45061590.42
CHL,ARG,2006,739309262.288
CHL,ARG,2007,796429021.061
CHL,ECU,2007,437120581.874
CHL,GTM,2007,248978731.687
CHL,HND,2007,40824017.37
CHL,MEX,2007,2321691434.071
CHL,BOL,2007,1263470838.421
CHL,BRA,2007,3396909907.978
CHL,COL,2007,608869421.666
CHL,PER,2007,1224903442.12
CHL,BRA,2008,3864882970.286
CHL,COL,2008,707767075.904
CHL,ECU,2008,495766498.46
CHL,MEX,2008,2159337578.9
CHL,ARG,2008,988115022.247
CHL,BOL,2008,1592683839.769
CHL,GTM,2008,324781956.456
CHL,HND,2008,55505446.057
CHL,PER,2008,1626425803.228
CHL,MEX,2009,1482140289.201
CHL,BRA,2009,2821665762.511
CHL,GTM,2009,126201585.916
CHL,HND,2009,25359533.162
CHL,PER,2009,1365152655.836
CHL,ECU,2009,416479465.515
CHL,ARG,2009,720829427.759
CHL,COL,2009,554106265.644
CHL,BOL,2009,1206060113.886
